2026-07-21 16:30:56 | INFO     | models.fichier_excel | Fichier chargé : Thor - Corrective maintenance follow-up.xlsx (227 lignes, 12 colonnes)
2026-07-21 16:30:56 | INFO     | models.fichier_excel | JeuDonnees créé : 227 lignes, 12 colonnes
2026-07-21 16:31:16 | INFO     | models.analyse_eda | EDA : 2 colonnes numériques analysées
2026-07-21 16:31:45 | INFO     | models.modele_ml | Labels d'utilité générés (règles génériques) : {'trop_vide': 178, 'doublon': 177, 'valeur_aberrante': 2, 'non_utile_total': 180, 'utile_total': 47}
2026-07-21 16:31:45 | INFO     | models.pretraitement | Doublons supprimés : 177
2026-07-21 16:31:45 | INFO     | models.pretraitement | Valeurs manquantes imputées : 32
2026-07-21 16:31:57 | INFO     | models.modele_ml | RandomForestClassifier entraîné : 200 arbres, 30 features
2026-07-21 16:31:57 | INFO     | models.rapport_evaluation | Évaluation : accuracy=0.923 precision=0.852 recall=0.923 f1=0.886
2026-07-21 17:18:45 | INFO     | models.fichier_excel | Fichier chargé : Thor - Corrective maintenance follow-up.xlsx (227 lignes, 12 colonnes)
2026-07-21 17:18:45 | INFO     | models.fichier_excel | JeuDonnees créé : 227 lignes, 12 colonnes
2026-07-21 17:18:51 | INFO     | models.analyse_eda | EDA : 2 colonnes numériques analysées
2026-07-21 17:42:37 | INFO     | models.tableau_maintenance | Export Excel du tableau de suivi des maintenances généré.
2026-07-21 17:42:40 | INFO     | models.tableau_maintenance | Export Excel du tableau de suivi des maintenances généré.
2026-07-21 17:43:08 | INFO     | models.tableau_maintenance | Export Excel du tableau de suivi des maintenances généré.
2026-07-21 17:43:34 | INFO     | models.tableau_maintenance | Export Excel du tableau de suivi des maintenances généré.
2026-07-21 17:43:37 | INFO     | models.tableau_maintenance | Export Excel du tableau de suivi des maintenances généré.
2026-07-21 17:43:41 | INFO     | models.tableau_maintenance | Export Excel du tableau de suivi des maintenances généré.
2026-07-21 17:47:56 | INFO     | models.tableau_maintenance | Export Excel du tableau de suivi des maintenances généré.
2026-07-21 17:48:13 | INFO     | models.tableau_maintenance | Export Excel du tableau de suivi des maintenances généré.
2026-07-21 17:48:16 | INFO     | models.tableau_maintenance | Export Excel du tableau de suivi des maintenances généré.
2026-07-21 17:48:56 | INFO     | models.tableau_maintenance | Export Excel du tableau de suivi des maintenances généré.
2026-07-21 17:51:42 | INFO     | models.tableau_maintenance | Export Excel du tableau de suivi des maintenances généré.
2026-07-21 17:51:49 | INFO     | models.tableau_maintenance | Export Excel du tableau de suivi des maintenances généré.
2026-07-21 17:51:53 | INFO     | models.tableau_maintenance | Export Excel du tableau de suivi des maintenances généré.
2026-07-21 17:52:33 | INFO     | models.tableau_maintenance | Export Excel du tableau de suivi des maintenances généré.
2026-07-21 17:56:37 | INFO     | models.tableau_maintenance | Export Excel du tableau de suivi des maintenances généré.
2026-07-21 17:56:40 | INFO     | models.tableau_maintenance | Export Excel du tableau de suivi des maintenances généré.
2026-07-21 17:56:48 | INFO     | models.tableau_maintenance | Export Excel du tableau de suivi des maintenances généré.
2026-07-22 08:32:47 | INFO     | models.fichier_excel | Fichier chargé : Thor - Corrective maintenance follow-up.xlsx (227 lignes, 12 colonnes)
2026-07-22 08:32:47 | INFO     | models.fichier_excel | JeuDonnees créé : 227 lignes, 12 colonnes
2026-07-22 08:32:50 | INFO     | models.fichier_excel | Fichier chargé : Thor - Corrective maintenance follow-up.xlsx (227 lignes, 12 colonnes)
2026-07-22 08:32:50 | INFO     | models.fichier_excel | JeuDonnees créé : 227 lignes, 12 colonnes
2026-07-22 08:32:56 | INFO     | models.analyse_eda | EDA : 2 colonnes numériques analysées
2026-07-22 08:37:50 | INFO     | models.modele_ml | Labels d'utilité générés (règles génériques) : {'trop_vide': 178, 'doublon': 177, 'valeur_aberrante': 2, 'non_utile_total': 180, 'utile_total': 47}
2026-07-22 08:37:50 | INFO     | models.pretraitement | Doublons supprimés : 177
2026-07-22 08:37:50 | INFO     | models.pretraitement | Valeurs manquantes imputées : 32
2026-07-22 08:38:10 | INFO     | models.modele_ml | LogisticRegression entraîné : 30 features
2026-07-22 08:38:10 | INFO     | models.rapport_evaluation | Évaluation : accuracy=0.923 precision=0.852 recall=0.923 f1=0.886
2026-07-22 08:49:12 | INFO     | models.tableau_maintenance | Export Excel du tableau de suivi des maintenances généré.
2026-07-22 08:51:16 | INFO     | models.tableau_maintenance | Export Excel du tableau de suivi des maintenances généré.
2026-07-22 09:39:23 | INFO     | models.fichier_excel | Fichier chargé : google_sheet_1gv6LybO-87CA4SaXbI9TvBQyRnFVFBcV.csv (170 lignes, 41 colonnes)
2026-07-22 09:39:23 | INFO     | models.fichier_excel | JeuDonnees créé : 170 lignes, 41 colonnes
2026-07-22 09:39:34 | INFO     | models.fichier_excel | Fichier chargé : google_sheet_1gv6LybO-87CA4SaXbI9TvBQyRnFVFBcV.csv (170 lignes, 41 colonnes)
2026-07-22 09:39:34 | INFO     | models.fichier_excel | JeuDonnees créé : 170 lignes, 41 colonnes
2026-07-22 09:39:35 | INFO     | models.fichier_excel | Fichier chargé : google_sheet_1gv6LybO-87CA4SaXbI9TvBQyRnFVFBcV.csv (170 lignes, 41 colonnes)
2026-07-22 09:39:35 | INFO     | models.fichier_excel | JeuDonnees créé : 170 lignes, 41 colonnes
2026-07-22 09:40:15 | INFO     | models.analyse_eda | EDA : 0 colonnes numériques analysées
2026-07-22 09:40:29 | INFO     | models.fichier_excel | Fichier chargé : Thor - Corrective maintenance follow-up.xlsx (227 lignes, 12 colonnes)
2026-07-22 09:40:29 | INFO     | models.fichier_excel | JeuDonnees créé : 227 lignes, 12 colonnes
2026-07-22 09:40:43 | INFO     | models.analyse_eda | EDA : 2 colonnes numériques analysées
2026-07-22 09:41:57 | INFO     | models.modele_ml | Labels d'utilité générés (règles génériques) : {'trop_vide': 178, 'doublon': 177, 'valeur_aberrante': 2, 'non_utile_total': 180, 'utile_total': 47}
2026-07-22 09:41:57 | INFO     | models.pretraitement | Doublons supprimés : 177
2026-07-22 09:41:58 | INFO     | models.pretraitement | Valeurs manquantes imputées : 32
2026-07-22 09:42:21 | INFO     | models.fichier_excel | Fichier chargé : google_sheet_1gv6LybO-87CA4SaXbI9TvBQyRnFVFBcV.csv (170 lignes, 41 colonnes)
2026-07-22 09:42:21 | INFO     | models.fichier_excel | JeuDonnees créé : 170 lignes, 41 colonnes
2026-07-22 09:45:08 | INFO     | models.fichier_excel | Fichier chargé : google_sheet_1gv6LybO-87CA4SaXbI9TvBQyRnFVFBcV.csv (170 lignes, 41 colonnes)
2026-07-22 09:45:08 | INFO     | models.fichier_excel | JeuDonnees créé : 170 lignes, 41 colonnes
2026-07-22 09:45:19 | INFO     | models.fichier_excel | Fichier chargé : google_sheet_1gv6LybO-87CA4SaXbI9TvBQyRnFVFBcV.csv (170 lignes, 41 colonnes)
2026-07-22 09:45:19 | INFO     | models.fichier_excel | JeuDonnees créé : 170 lignes, 41 colonnes
2026-07-22 09:45:21 | INFO     | models.fichier_excel | Fichier chargé : google_sheet_1gv6LybO-87CA4SaXbI9TvBQyRnFVFBcV.csv (170 lignes, 41 colonnes)
2026-07-22 09:45:21 | INFO     | models.fichier_excel | JeuDonnees créé : 170 lignes, 41 colonnes
2026-07-22 09:45:22 | INFO     | models.analyse_eda | EDA : 0 colonnes numériques analysées
2026-07-22 09:45:42 | INFO     | models.analyse_eda | EDA : 0 colonnes numériques analysées
2026-07-22 09:45:42 | INFO     | models.analyse_eda | EDA : 0 colonnes numériques analysées
2026-07-22 09:45:56 | INFO     | models.modele_ml | Labels d'utilité générés (règles génériques) : {'trop_vide': 6, 'doublon': 0, 'valeur_aberrante': 0, 'non_utile_total': 6, 'utile_total': 164}
